channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507440069.741529,0
-54638.079361686636,-52773.83211539175,-31772.468301352063,-42573.50177449009,-66721.23124852554,-71288.18437912279,-79119.20745601744,-70647.13634814457,1507440070.219826,0
-54630.25625112728,-52773.6085979472,-31766.25451639349,-42572.02655935605,-66726.86388812827,-71291.26891985761,-79117.173447272,-70641.74957773085,1507440070.220219,0
-54706.989789842344,-52878.99707305397,-31943.481498179615,-42634.27616766407,-66757.15050186521,-71234.04845405203,-79253.69790240502,-70918.0394909429,1507440070.220542,0
-54708.86733637659,-52882.305131233355,-31955.70790239667,-42633.3597461414,-66762.73843797905,-71232.17090751778,-79266.19252755554,-70954.76340708297,1507440070.2208588,0
-54628.71398075986,-52793.859278423704,-31782.973621246056,-42576.47455650265,-66736.89982138871,-71280.40597205234,-79136.70887192593,-70695.14789523458,1507440070.221269,0
-54595.09695709908,-52749.312251724274,-31724.121478095232,-42550.43477421222,-66735.24579229901,-71303.20475139676,-79094.26290920531,-70610.65830119351,1507440070.221607,0
-54676.502010405304,-52870.39165143867,-31904.388297127283,-42623.07794369196,-66761.82201645637,-71239.72579714368,-79231.1002887607,-70874.83356891079,1507440070.2218812,0
-54695.36688272559,-52886.99899756897,-31957.250172764085,-42633.471504863686,-66775.47893231857,-71230.5168784281,-79274.68619044856,-70972.42128520267,1507440070.2221491,0
-54628.6469255265,-52819.943764203046,-31810.91330181519,-42591.98666715463,-66749.7520744505,-71265.65382071183,-79161.54166001579,-70738.95731436698,1507440070.2224221,0
-54568.923064341914,-52732.32492593824,-31703.80374238536,-42542.96929156414,-66739.98436212353,-71303.60708279695,-79081.18713869895,-70585.51258868129,1507440070.2226849,0
-54648.696440302905,-52854.76778206442,-31870.92773567769,-42618.45113258972,-66762.40316181221,-71240.41870122179,-79208.68148907203,-70825.14564098664,1507440070.222948,0
-54683.90043782001,-52888.04952955837,-31959.932382098723,-42640.62406308938,-66781.64801378823,-71221.37501494586,-79280.94467889603,-70982.256052763,1507440070.22321,0
-54626.92584120344,-52835.85820625522,-31839.858810884813,-42607.81170222899,-66754.26712683048,-71241.84921286693,-79184.60866029367,-70784.82309398927,1507440070.22348,0
-54542.637412862474,-52716.72340830844,-31693.365477724732,-42539.46006768466,-66734.19526030961,-71288.38554482289,-79070.72652229387,-70571.18512048545,1507440070.223742,0
-54607.032788638215,-52825.57640380578,-31832.303921258917,-42606.33648709494,-66750.42262678416,-71232.57323891798,-79175.22092762243,-70764.52771002385,1507440070.224003,0
-54654.75376305029,-52881.41106145514,-31956.80313787498,-42642.09927822343,-66774.98719394054,-71205.43822114923,-79273.94858288152,-70974.16472127018,1507440070.224264,0
-54611.078454384624,-52850.65506108464,-31873.028799656488,-42621.558025069,-66752.47898727405,-71217.39640443283,-79203.33942214721,-70829.79480383334,1507440070.2245271,0
-54516.55292708313,-52717.68453332002,-31703.75903889645,-42543.66219564226,-66728.0038270955,-71273.09695161546,-79070.05596996022,-70579.25410023381,1507440070.224788,0
-54565.994985818266,-52800.430691293564,-31803.06783951138,-42592.03137064354,-66737.27980104444,-71232.90851508481,-79144.53198248529,-70715.57738966672,1507440070.225047,0
-54634.32426861814,-52884.875581845714,-31953.048044806488,-42638.79122004405,-66761.509092034,-71195.08936346642,-79264.24792578792,-70966.69923862211,1507440070.2252722,0
-54607.658637482964,-52869.51993340492,-31901.84019825938,-42620.52984482406,-66739.55967897888,-71197.43629663423,-79217.1975037095,-70879.50508350195,1507440070.225503,0
-54506.24877288923,-52732.704905593986,-31722.020414116436,-42532.32986120342,-66702.72400411654,-71248.8676606259,-79068.80427227072,-70603.6175016901,1507440070.225729,0
-54527.1700056994,-52771.77575490186,-31768.579097816837,-42548.98191082262,-66699.90768431517,-71224.97364580317,-79099.6720313635,-70663.8778047416,1507440070.225955,0
