channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507434554.079115,0
-29667.291601573423,-13529.15329088608,-57620.29381040261,-59543.57201380396,-14349.0376292512,-32484.550176209235,-15665.689488135517,-24027.61119933262,1507434554.095001,0
-29649.276095542446,-13478.638348417086,-57596.6456647689,-59509.77617618754,-14258.468360718294,-32464.165385265995,-15657.441694431507,-23959.751303166307,1507434554.574157,0
-29637.273208769944,-13519.989075659405,-57621.97019123676,-59543.34849635941,-14404.246438055807,-32463.986571310354,-15638.643877344595,-24057.71899911392,1507434554.574549,0
-29666.44223528412,-13581.63518686714,-57637.57170886656,-59590.33186320447,-14495.195686244451,-32499.414086272012,-15648.456293160474,-24128.328159848235,1507434554.574868,0
-29698.762857766495,-13569.609948350186,-57644.05371475861,-59586.33090094697,-14386.677966913936,-32522.05640340524,-15678.340575497221,-24074.035772566294,1507434554.575179,0
-29677.528700533952,-13505.683959208007,-57612.157775420885,-59535.81595847797,-14253.036886815655,-32495.10019959214,-15663.119037523156,-23977.677402219466,1507434554.575496,0
-29648.06910134186,-13517.038645391303,-57612.78362426563,-59549.271708640066,-14356.011373521254,-32484.728990164876,-15635.559336609762,-24044.03973150727,1507434554.575806,0
-29660.899002659204,-13577.254244953901,-57633.45898788679,-59594.13165976187,-14482.656357605025,-32504.15265609654,-15646.310525692765,-24127.478793558934,1507434554.576111,0
-29680.412075568685,-13559.663422067575,-57626.418188383366,-59585.973273035685,-14391.75181290529,-32512.91453992302,-15666.76237186937,-24074.438103966488,1507434554.576415,0
-29665.59286899482,-13491.982339856904,-57600.11018515947,-59537.246470123115,-14248.499482691228,-32485.511301220813,-15653.95482229648,-23970.658954460498,1507434554.576724,0
-29629.539505188408,-13482.23697927439,-57575.56796974754,-59520.393254803814,-14313.520707311716,-32460.678513130966,-15623.131766692612,-23995.670556505986,1507434554.577031,0
-29643.598752450795,-13548.845177751205,-57617.96922897926,-59578.99952876563,-14485.62913961758,-32486.830054143677,-15641.61665935715,-24108.61392123865,1507434554.577334,0
-29664.72115096106,-13547.437017850521,-57639.87393854546,-59581.10059274443,-14430.755606979801,-32505.180836341482,-15673.557302183784,-24079.087266813192,1507434554.577638,0
-29662.128348604245,-13486.550865954265,-57603.284132872126,-59538.31935385697,-14276.640328960459,-32488.52878672228,-15669.399877715097,-23977.476236519367,1507434554.577944,0
-29620.643510895196,-13452.084476004182,-57576.39498429239,-59511.27374306605,-14290.96779715631,-32455.42585318397,-15632.944182508492,-23976.917442907983,1507434554.5782049,0
-29625.359728975265,-13518.759729714362,-57614.325894633046,-59562.6604035688,-14482.745764582845,-32479.23046102887,-15647.13754023761,-24101.595473479687,1507434554.578462,0
-29664.944668405613,-13548.666363795563,-57634.77774080965,-59589.79542133754,-14473.782715056268,-32516.177894613495,-15693.405651260096,-24112.458421284966,1507434554.57872,0
-29664.072950371858,-13491.535304967798,-57621.21023192528,-59546.41068534979,-14307.128108397497,-32497.983574626873,-15692.735098926438,-24012.05438519173,1507434554.5789819,0
-29633.0934325568,-13450.251632958847,-57589.89543794339,-59513.37480704484,-14274.583968470572,-32463.338370721147,-15668.52815968134,-23980.22550108737,1507434554.5792441,0
-29628.041938309903,-13506.53332549731,-57604.91581021736,-59563.06273496899,-14487.976072785386,-32475.676533660477,-15667.276461991843,-24098.689746700496,1507434554.5795012,0
-29657.792110179915,-13542.921965470548,-57637.59406061102,-59590.2648079711,-14507.712663139424,-32505.38200204158,-15705.140317099133,-24125.66830225805,1507434554.5797582,0
-29663.44710152711,-13490.037738089293,-57616.337551634024,-59551.90921448579,-14336.163024444942,-32498.20709207143,-15703.82156417627,-24033.087376724172,1507434554.5800178,0
-29633.04872906789,-13432.169071694503,-57586.45326929728,-59506.423414519246,-14259.25067177423,-32466.7134841339,-15678.765258641872,-23986.32752732367,1507434554.580277,0
-29626.812592364862,-13484.29333976428,-57606.79335675161,-59553.07150519747,-14461.891587006045,-32475.90005110503,-15672.596177172207,-24085.166941305037,1507434554.5805519,0
-29653.232354311032,-13535.791758989306,-57638.19755771131,-59591.7176713607,-14526.801052904255,-32498.296499049247,-15699.284160051842,-24123.142555134604,1507434554.580811,0
-29660.16139509218,-13489.277778777812,-57625.41235988288,-59551.32806912996,-14372.395202206995,-32490.58514721217,-15711.264695079888,-24031.23218193438,1507434554.5810719,0
-29632.333473245322,-13423.675408801486,-57594.455193812275,-59508.3456645424,-14253.416866471394,-32455.023521783773,-15677.20063653,-23949.245983272314,1507434554.581344,0
-29615.323795714834,-13459.192330740969,-57603.93233346133,-59535.23481312214,-14415.981103894843,-32452.073091515675,-15661.86733983366,-24041.134004728083,1507434554.581568,0
-29646.68329318563,-13527.029875162825,-57638.152854222404,-59585.32507244648,-14536.300544297761,-32485.108969820616,-15693.428003004552,-24120.16977312205,1507434554.581791,0
-29668.699761474105,-13507.136822597602,-57670.451124960324,-59577.54666537603,-14413.678874215946,-32495.52488273679,-15724.094596397234,-24056.936688057984,1507434554.5820181,0
-29653.81349966687,-13448.307031191234,-57610.25787714218,-59536.84413872292,-14268.839570145557,-32476.95058309443,-15710.72825321296,-23972.5588527392,1507434554.582242,0
-29624.10803128577,-13454.61022312763,-57605.519307317656,-59541.11332191388,-14390.298949515696,-32467.741664378842,-15683.123848810656,-24034.89786802505,1507434554.582464,0
-29641.810612894373,-13518.469157036443,-57630.08387447404,-59593.662273128306,-14557.69116374149,-32494.85433040313,-15709.275389823366,-24138.565258808765,1507434554.582687,0
-29656.316895045868,-13497.212648059447,-57628.40749363989,-59571.1093629729,-14451.609784556602,-32491.14394082355,-15724.094596397234,-24066.77145561832,1507434554.582929,0
-29643.82226989535,-13431.744388549852,-57597.58443803602,-59513.330103555934,-14259.429485729872,-32462.7125218764,-15690.142296569622,-23951.436454228933,1507434554.5831628,0
-29623.77275511894,-13431.23029842738,-57594.455193812275,-59523.0978158829,-14340.611021591547,-32460.454995686414,-15682.185075543533,-24007.494629322842,1507434554.583394,0
