channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507435090.7041888,0
-28930.891028748876,-27358.356399340202,-41511.749209374095,-39539.09600247097,-187500.02235174447,-22659.930307856837,19082.57831127385,-14962.414200593736,1507435091.186056,0
-28938.9823602417,-27371.208652402005,-41539.62183470987,-39561.26893297064,-187500.02235174447,-22671.73202892924,19075.06812513687,-15005.6424743703,1507435091.186444,0
-28925.884237990886,-27394.789742802353,-41538.43719225373,-39629.531160537146,-187500.02235174447,-22709.0594421696,19067.62499423325,-15199.812078453551,1507435091.1867578,0
-28926.39832811336,-27392.6663270791,-41519.84054086692,-39609.61575622747,-187500.02235174447,-22697.280072841655,19064.652212220695,-15155.66738315432,1507435091.187079,0
-28937.887124763387,-27373.80145475882,-41516.711296643174,-39555.837459067996,-187500.02235174447,-22658.76801714516,19067.289718066422,-14976.540503089489,1507435091.1873841,0
-28938.445918374768,-27369.062884934294,-41544.673328956764,-39554.45165091177,-187500.02235174447,-22662.903089869393,19077.90679668269,-14963.844712238875,1507435091.187685,0
-28924.945464723765,-27386.60900433171,-41511.45863669618,-39617.23770108673,-187500.02235174447,-22707.11484040199,19085.886369453237,-15170.866569383928,1507435091.187985,0
-28924.856057745943,-27391.951071256528,-41532.13400031734,-39626.6030820135,-187500.02235174447,-22712.658073026905,19070.798941945905,-15184.925816646317,1507435091.188291,0
-28930.511049093137,-27371.856852991208,-41524.78027639154,-39560.33015970352,-187500.02235174447,-22672.827264407548,19073.749372214006,-15012.191535495704,1507435091.188593,0
-28936.590723584977,-27363.02791393136,-41519.84054086692,-39541.62174959442,-187500.02235174447,-22660.57850844604,19084.50056129701,-14945.315116085425,1507435091.188894,0
-28924.878409490397,-27380.596385073233,-41524.26618626907,-39612.7002969623,-187500.02235174447,-22704.54438978963,19067.848511677803,-15147.129016772393,1507435091.1891918,0
-28913.702537262743,-27384.329126397268,-41531.619910194866,-39621.618642999965,-187500.02235174447,-22708.567703791585,19074.129351869746,-15197.442793541288,1507435091.189495,0
-28929.01348221463,-27372.974440213973,-41525.0037938361,-39573.808261610066,-187500.02235174447,-22675.53182548664,19080.186674617133,-15039.058332330982,1507435091.189824,0
-28927.20299091375,-27345.99588465642,-41514.58788091992,-39535.25150242466,-187500.02235174447,-22651.503700197187,19086.06518340888,-14932.775787445999,1507435091.190083,0
-28903.890121446864,-27343.626599744155,-41510.4975116846,-39578.54683143459,-187500.02235174447,-22665.205319548288,19084.277043852457,-15069.412001301289,1507435091.190339,0
-28884.578214237477,-27343.023102643863,-41495.901822555286,-39587.82280538354,-187500.02235174447,-22663.68540092533,19093.15068640121,-15165.457447225745,1507435091.1906,0
-28885.76285669361,-27321.252503544394,-41495.76771208856,-39531.4293541228,-187500.02235174447,-22625.82154581804,19100.258541138,-15022.741558878608,1507435091.19086,0
-28889.29443231755,-27300.331270734227,-41470.55494434297,-39485.854147178434,-187500.02235174447,-22601.212275172744,19095.519971313475,-14895.716595139098,1507435091.191116,0
-28885.76285669361,-27315.843381386207,-41492.83963356491,-39537.59843559247,-187500.02235174447,-22638.897316324394,19093.597721290316,-15036.621992185354,1507435091.191372,0
-28877.246842056138,-27338.061015374784,-41499.16517724576,-39591.73436066322,-187500.02235174447,-22674.14601733041,19083.606491518796,-15197.241627841191,1507435091.1916318,0
-28901.677298745788,-27349.169832369073,-41512.531520430035,-39568.488546429704,-187500.02235174447,-22654.923517098847,19089.887331710735,-15076.721021738174,1507435091.1918888,0
-28930.086365948486,-27348.83455620224,-41521.69573565671,-39539.05129898206,-187500.02235174447,-22639.9925518027,19084.388802574733,-14932.015828134518,1507435091.1921449,0
-28932.500354349657,-27358.89284120713,-41538.660709698284,-39578.72564539023,-187500.02235174447,-22672.96137487428,19065.054543620892,-15026.809576369475,1507435091.192399,0
-28919.513990821124,-27378.85294900572,-41535.88909338583,-39626.98306166924,-187500.02235174447,-22706.041956668134,19079.851398450304,-15196.883999929905,1507435091.192683,0
-28923.15732516734,-27373.80145475882,-41522.880378112844,-39595.71297117627,-187500.02235174447,-22689.278148326655,19072.989412902523,-15124.933734528273,1507435091.192944,0
-28934.06497646153,-27354.534251038345,-41510.67632564024,-39550.11541248744,-187500.02235174447,-22655.527014199142,19080.097267639314,-14956.133360401793,1507435091.1932118,0
-28933.461479361235,-27354.109567893694,-41524.065020568974,-39561.984188793205,-187500.02235174447,-22678.23638656573,19080.074915894857,-14999.093413244895,1507435091.1934452,0
-28913.47901981819,-27370.158120412605,-41548.42842202526,-39626.379564568946,-187500.02235174447,-22720.145907419435,19061.0982848523,-15206.785822723607,1507435091.1936839,0
-28905.76766798111,-27361.865623219684,-41515.14667453131,-39601.43501775683,-187500.02235174447,-22696.386003063442,19075.67162223716,-15154.415685464823,1507435091.193917,0
