channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1507436236.151532,0
-187500.02235174447,-187500.02235174447,-27307.863808615664,-5098.969352122468,-187500.04470348894,-25771.784874413595,-187500.02235174447,36031.19087591063,1507436236.635781,0
-187500.02235174447,-187500.02235174447,-27654.13703371728,-5398.505079568038,-187500.04470348894,-26083.457599098398,-187500.02235174447,37467.648085075394,1507436236.636168,0
-187500.02235174447,-187500.02235174447,-27700.852179628873,-5500.630199984336,-187500.04470348894,-26155.31845752221,-187500.02235174447,38399.246442228134,1507436236.636493,0
-187500.02235174447,-187500.02235174447,-27324.806430912788,-5204.737806884981,-187500.04470348894,-25820.086994181514,-187500.02235174447,36935.989491461456,1507436236.636823,0
-187500.02235174447,-187500.02235174447,-27232.11374665663,-5037.099723470178,-187500.04470348894,-25693.263196142103,-187500.02235174447,36022.16077115068,1507436236.6371388,0
-187500.02235174447,-187500.02235174447,-27569.736846654043,-5336.344878237829,-187500.04470348894,-25990.317879953134,-187500.02235174447,37209.954823250155,1507436236.637451,0
-187500.02235174447,-187500.02235174447,-27713.235046057114,-5506.218136098163,-187500.04470348894,-26171.344658296664,-187500.02235174447,38466.34637908296,1507436236.637762,0
-187500.02235174447,-187500.02235174447,-27342.71017822149,-5232.923356643124,-187500.04470348894,-25854.59808762051,-187500.02235174447,37261.274428519544,1507436236.638083,0
-187500.02235174447,-187500.02235174447,-27183.05166757723,-5019.844176750681,-187500.04470348894,-25663.110692871895,-187500.02235174447,36031.48144858854,1507436236.6383948,0
-187500.02235174447,-187500.02235174447,-27479.905185688163,-5245.261519582453,-187500.04470348894,-25927.26360884471,-187500.02235174447,36910.86613069369,1507436236.638705,0
-187500.02235174447,-187500.02235174447,-27700.09222031739,-5500.876069173345,-187500.04470348894,-26168.66244896203,-187500.02235174447,38389.59048862344,1507436236.639028,0
-187500.02235174447,-187500.02235174447,-27384.195015930538,-5281.8513252557905,-187500.04470348894,-25906.476486501277,-187500.02235174447,37561.03367340966,1507436236.639297,0
-187500.02235174447,-187500.02235174447,-27145.210164214393,-5016.200842404466,-187500.04470348894,-25657.321591057967,-187500.02235174447,36089.95361208363,1507436236.639562,0
-187500.02235174447,-187500.02235174447,-27362.60323078671,-5171.478411135485,-187500.04470348894,-25837.2978374121,-187500.02235174447,36619.26527252976,1507436236.6398232,0
-187500.02235174447,-187500.02235174447,-27694.414877225743,-5481.340644519406,-187500.04470348894,-26172.37283854161,-187500.02235174447,38253.40130965725,1507436236.640085,0
-187500.02235174447,-187500.02235174447,-27485.20254912407,-5382.747099727047,-187500.04470348894,-26010.34504298509,-187500.02235174447,37873.51106089486,1507436236.640352,0
-187500.02235174447,-187500.02235174447,-27159.18000449896,-5066.000529050891,-187500.04470348894,-25687.250576883624,-187500.02235174447,36233.13888706433,1507436236.640616,0
-187500.02235174447,-187500.02235174447,-27322.30303553379,-5182.78839382987,-187500.04470348894,-25824.669101794854,-187500.02235174447,36390.562223263056,1507436236.640887,0
-187500.02235174447,-187500.02235174447,-27632.411138106723,-5464.018042566543,-187500.04470348894,-26118.393375682044,-187500.02235174447,38031.403783727146,1507436236.641153,0
-187500.02235174447,-187500.02235174447,-27499.77588650893,-5410.284448895985,-187500.04470348894,-26030.036929850216,-187500.02235174447,38133.05951750988,1507436236.6414201,0
-187500.02235174447,-187500.02235174447,-27175.38501922906,-5123.377457067663,-187500.04470348894,-25711.23399868417,-187500.02235174447,36445.569866367565,1507436236.641684,0
-187500.02235174447,-187500.02235174447,-27247.73761603089,-5146.4891608344515,-187500.04470348894,-25759.022028329615,-187500.02235174447,36223.3488229929,1507436236.6419468,0
-187500.02235174447,-187500.02235174447,-27635.94271373066,-5477.652606684281,-187500.04470348894,-26121.50026816133,-187500.02235174447,37831.512133063334,1507436236.642209,0
-187500.02235174447,-187500.02235174447,-27581.404457259712,-5515.717627491668,-187500.04470348894,-26107.865704043594,-187500.02235174447,38399.15703525031,1507436236.642504,0
-187500.02235174447,-187500.02235174447,-27166.779597613764,-5157.955605740024,-187500.04470348894,-25705.13197244787,-187500.02235174447,36705.45359914942,1507436236.6427572,0
-187500.02235174447,-187500.02235174447,-27175.51912969579,-5090.118061318167,-187500.04470348894,-25672.073742398472,-187500.02235174447,36080.789396856955,1507436236.642988,0
-187500.02235174447,-187500.02235174447,-27581.873843893274,-5433.1726352182195,-187500.04470348894,-26043.179755589936,-187500.02235174447,37541.94528364483,1507436236.643216,0
-187500.02235174447,-187500.02235174447,-27643.274085912002,-5563.997395515132,-187500.04470348894,-26141.013341070815,-187500.02235174447,38575.44524376932,1507436236.643449,0
-187500.02235174447,-187500.02235174447,-27213.226522591893,-5215.779568645903,-187500.04470348894,-25750.75188288115,-187500.02235174447,37011.78425690941,1507436236.643679,0
-187500.02235174447,-187500.02235174447,-27131.7544140523,-5074.561247177273,-187500.04470348894,-25636.82504139245,-187500.02235174447,36006.76041922098,1507436236.643906,0
-187500.02235174447,-187500.02235174447,-27486.409543324655,-5350.538235966949,-187500.04470348894,-25960.120673194015,-187500.02235174447,37260.38035874133,1507436236.6441338,0
-187500.02235174447,-187500.02235174447,-27668.3303914464,-5587.8690585934,-187500.04470348894,-26169.288297806776,-187500.02235174447,38690.355562014054,1507436236.644413,0
-187500.02235174447,-187500.02235174447,-27241.903810728054,-5242.7581242034585,-187500.04470348894,-25788.235758332703,-187500.02235174447,37404.75027617816,1507436236.644696,0
-187500.02235174447,-187500.02235174447,-27040.469889696826,-4984.5954757446625,-187500.04470348894,-25562.39373235628,-187500.02235174447,36008.503855288494,1507436236.644937,0
-187500.02235174447,-187500.02235174447,-27391.43698113406,-5278.990301965511,-187500.04470348894,-25881.666050155887,-187500.02235174447,37011.493684231486,1507436236.6451719,0
-187500.02235174447,-187500.02235174447,-27694.884263859305,-5588.651369649336,-187500.04470348894,-26200.178408644013,-187500.02235174447,38712.99787914728,1507436236.645407,0
-187500.02235174447,-187500.02235174447,-27324.202933812492,-5327.895918833723,-187500.04470348894,-25878.514454187687,-187500.02235174447,37840.117554678625,1507436236.645643,0
-187500.02235174447,-187500.02235174447,-27009.400964903947,-5001.5604497862405,-187500.04470348894,-25545.451110059155,-187500.02235174447,36197.8454825694,1507436236.645847,0
